code_mission,localite,date_pose,numero_ligne,date_releve,numero_releve,numero_piege,latitude_piege,longitude_piege,code_resultat,abbrev_resultat,resultat,numero_terrain,commentaire,taxon_capture,numero_centre,date_dissection,observations,sexe,poids,longueur_tete_corps,longueur_queue,testicules,testicules_longueur,vesicule_seminale_taille,vulve_ouverte,lactation,cicatrices_placentaires_presentes,gestation,uterus,methode_identification,taxon_dissection,effectif_tique,parasite
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,1,44.6159719,-0.5593106,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,2,44.6159937,-0.5592962,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,3,44.6160355,-0.5592778,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,4,44.6160502,-0.5592046,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,5,44.6160785,-0.5591555,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,6,44.616109,-0.5591004,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,7,44.6161281,-0.5590993,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,8,44.6161723,-0.5590302,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,9,44.6162067,-0.5590244,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,10,44.61628,-0.5589476,0,0,0,,,,,,,,,,,,,,,,,,,,,,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,2023-05-30,1,2023-05-31,1,11,44.6163023,-0.5588945,0,0,0,,,,,,,,,,,,,,,,,,,,,,
